place_external_id,category_slug,is_primary
greatlist-msk-restaurant-copen-57,restaurant,true
greatlist-msk-restaurant-rockets-concept-store,quick_bite,false
greatlist-msk-restaurant-di-nulla,restaurant,true
greatlist-msk-restaurant-vysota-5642,restaurant,true
greatlist-msk-restaurant-kaifuso,restaurant,true
greatlist-msk-restaurant-maxs-beef-for-money,restaurant,true
greatlist-msk-restaurant-fumisawa,restaurant,true
greatlist-msk-restaurant-pino,restaurant,true
greatlist-msk-restaurant-gorynych,restaurant,true
greatlist-msk-restaurant-selfie,fine_dining,true
greatlist-msk-restaurant-koji,restaurant,true
greatlist-msk-restaurant-oltremare,fine_dining,true
greatlist-msk-restaurant-loona,restaurant,true
greatlist-msk-restaurant-grace,restaurant,true
greatlist-msk-restaurant-olluco,fine_dining,true
greatlist-msk-restaurant-silencio,bar,true
greatlist-msk-restaurant-matreshka,restaurant,true
greatlist-msk-restaurant-mamie,restaurant,true
greatlist-msk-restaurant-800-contemporary,restaurant,true
greatlist-msk-restaurant-pafos,restaurant,true
greatlist-msk-restaurant-muse,restaurant,true
greatlist-msk-restaurant-leveldva,bar,true
greatlist-msk-restaurant-tottori,restaurant,true
greatlist-msk-restaurant-anchovys-club,restaurant,false
greatlist-msk-restaurant-kofemaniya-chefs,restaurant,false
greatlist-msk-restaurant-carniceria-vino,restaurant,true
greatlist-msk-restaurant-zojka,bar,true
greatlist-msk-restaurant-due-forni,fine_dining,true
greatlist-msk-restaurant-masa-madre,restaurant,true
greatlist-msk-restaurant-wa-garden,restaurant,true
greatlist-msk-restaurant-boston-seafood,restaurant,false
greatlist-msk-restaurant-sartoria-lamberti,restaurant,true
greatlist-msk-restaurant-self-edge-japanese-6,restaurant,true
greatlist-msk-restaurant-grand-cru,fine_dining,false
greatlist-msk-restaurant-niki,fine_dining,true
greatlist-msk-restaurant-savva,fine_dining,true
greatlist-msk-restaurant-uzbekistan,restaurant,true
greatlist-msk-restaurant-chainaya-tea-cocktails,bar,false
greatlist-msk-restaurant-buro-tsum,restaurant,true
greatlist-msk-restaurant-mushrooms,restaurant,true
greatlist-msk-restaurant-flor,restaurant,true
greatlist-msk-restaurant-mina-3,restaurant,true
greatlist-msk-restaurant-multikultura,restaurant,true
greatlist-msk-restaurant-probka,restaurant,true
greatlist-msk-restaurant-tokio-sushi,restaurant,true
greatlist-msk-restaurant-smoke-bbq,restaurant,true
greatlist-msk-restaurant-aaark,quick_bite,false
greatlist-msk-restaurant-lui,fine_dining,true
greatlist-msk-restaurant-la-maree-na-petrovke,fine_dining,true
greatlist-msk-restaurant-bruno,restaurant,true
greatlist-msk-restaurant-39-trattoriapizzeria,restaurant,true
greatlist-msk-restaurant-saray,restaurant,true
greatlist-msk-restaurant-dr-zhivago,restaurant,true
greatlist-msk-restaurant-kappo-hiroki-arakava,restaurant,true
greatlist-msk-restaurant-beluga,fine_dining,true
greatlist-msk-restaurant-insider-bar,bar,true
greatlist-msk-restaurant-onest,fine_dining,true
greatlist-msk-restaurant-magnum-wine-bar,bar,false
greatlist-msk-restaurant-cantinetta-antinori,fine_dining,true
greatlist-msk-restaurant-christian,restaurant,true
greatlist-msk-restaurant-vadvare,fine_dining,true
greatlist-msk-restaurant-bjorn,restaurant,true
greatlist-msk-restaurant-sibirsibir,restaurant,true
greatlist-msk-restaurant-ima,restaurant,true
greatlist-msk-restaurant-semifreddo,fine_dining,true
greatlist-msk-restaurant-centrale-bistro,restaurant,true
greatlist-msk-restaurant-delicatessen,bar,true
greatlist-msk-restaurant-bottega-siciliana,fine_dining,true
greatlist-msk-restaurant-gvidon,fine_dining,true
greatlist-msk-restaurant-mendeleev-bar,bar,false
greatlist-msk-restaurant-km20,restaurant,false
greatlist-msk-restaurant-salone-pasta-bar-msk,restaurant,false
greatlist-msk-restaurant-marmo,restaurant,true
greatlist-msk-restaurant-look-up-cafeshop,quick_bite,false
greatlist-msk-restaurant-folk,restaurant,true
greatlist-msk-restaurant-butler,fine_dining,true
greatlist-msk-restaurant-mr-lee,restaurant,true
greatlist-msk-restaurant-radio-greenhouse,restaurant,true
greatlist-msk-restaurant-big-wine-freaks-2,bar,false
greatlist-msk-restaurant-korobok,bar,true
greatlist-msk-restaurant-noor,bar,false
greatlist-msk-restaurant-loro,restaurant,true
greatlist-msk-restaurant-sakhli,restaurant,true
greatlist-msk-restaurant-zhazhda-krovi,restaurant,true
greatlist-msk-restaurant-kazbek,restaurant,true
greatlist-msk-restaurant-ikura,restaurant,true
greatlist-msk-restaurant-the-bix,bar,true
greatlist-msk-restaurant-white-rabbit,fine_dining,true
greatlist-msk-restaurant-community,bar,true
greatlist-msk-restaurant-sakhalin,fine_dining,true
greatlist-msk-restaurant-rybtorg,restaurant,true
greatlist-msk-restaurant-padron,restaurant,true
greatlist-msk-restaurant-krasota,fine_dining,true
greatlist-msk-restaurant-za-kryshej,restaurant,true
greatlist-msk-restaurant-severyane,restaurant,true
greatlist-msk-restaurant-veladora,bar,true
greatlist-msk-restaurant-ajna,restaurant,true
greatlist-msk-restaurant-maritozzo,fine_dining,true
greatlist-msk-restaurant-musya-i-vtoroe,restaurant,true
greatlist-msk-restaurant-regent,fine_dining,true
greatlist-msk-restaurant-pushkin,fine_dining,true
greatlist-msk-restaurant-dich,restaurant,true
greatlist-msk-restaurant-biwon,fine_dining,true
greatlist-msk-restaurant-mama-tuta,restaurant,true
greatlist-msk-restaurant-chefs-table,fine_dining,true
greatlist-msk-restaurant-lucky-izakaya-bar,restaurant,false
greatlist-msk-restaurant-bagebi,restaurant,true
greatlist-msk-restaurant-ikra,fine_dining,true
greatlist-msk-restaurant-sangre-fresca,bar,true
greatlist-msk-restaurant-jun,restaurant,true
greatlist-msk-restaurant-075-please,restaurant,true
greatlist-msk-restaurant-eva-belorusskaya,restaurant,true
greatlist-msk-restaurant-eva-khamovniki,restaurant,true
greatlist-msk-restaurant-ku-belorusskaya,restaurant,true
greatlist-msk-restaurant-ku-smolenskaya,restaurant,true
greatlist-msk-restaurant-ku-moscow-city,restaurant,true
afisha-msk-lao-lee-cafe-75769,restaurant,true
afisha-msk-vinnyi-bazar-na-komsomolskom-47066,bar,false
afisha-msk-lumberjack-bar-40916,bar,true
afisha-msk-scrocchiarella-197026,restaurant,true
afisha-msk-butcher-35598,restaurant,true
afisha-msk-lepim-i-varim-151585,restaurant,true
afisha-msk-mitzva-bar-61187,bar,false
afisha-msk-touche-173760,bar,false
afisha-msk-zodiac-44602,restaurant,true
afisha-msk-kitaiskaia-gramota-45415,restaurant,true
afisha-msk-natakhtari-na-maroseike-47865,restaurant,true
afisha-msk-bo-174563,restaurant,true
afisha-msk-moscow-delhi-218632,restaurant,true
afisha-msk-rynok-i-obshchepit-270147,restaurant,true
afisha-msk-black-swan-pub-442960,bar,false
afisha-msk-burger-heroes-77344,quick_bite,true
afisha-msk-mr-livanets-75771,restaurant,true
afisha-msk-darbazi-42305,restaurant,true
afisha-msk-km20-385754,restaurant,true
afisha-msk-fruits-veges-44899,restaurant,true
afisha-msk-maestrello-353417,restaurant,false
afisha-msk-true-cost-nikuda-ne-edem-48805,restaurant,true
afisha-msk-cutfish-218554,restaurant,true
afisha-msk-rico-44190,restaurant,true
afisha-msk-tehnikum-259792,bar,true
afisha-msk-twins-garden-386019,restaurant,true
afisha-msk-oblomov-16671,restaurant,true
afisha-msk-ryba-moia-421793,restaurant,true
afisha-msk-semifreddo-16592,restaurant,true
afisha-msk-chaikovskii-32591,restaurant,true
afisha-msk-hong-kong-349230,restaurant,true
afisha-msk-molon-lave-48558,restaurant,true
afisha-msk-druzhba-23228,restaurant,true
afisha-msk-ierusalim-26774,restaurant,true
afisha-msk-moloko-35622,coffee,true
afisha-msk-turandot-20223,restaurant,true
afisha-msk-dizengof-99-409047,restaurant,true
